PollutantId,PollutantCode,PollutantName,ChineseName,Unit,PollutantTypeId
1,100,SO2,二氧化硫,μg/m3,1
2,101,NO2,二氧化氮,μg/m3,1
3,102,O3,臭氧,μg/m3,1
4,103,CO,一氧化碳,mg/m3,1
5,104,PM10,颗粒物PM10,μg/m3,1
6,105,PM2.5,细颗粒物PM2.5,μg/m3,1
7,106,NOx,氮氧化物,μg/m3,1
8,107,NO,一氧化氮,μg/m3,1
9,108,风速,风速,m/s,2
10,109,风向,风向,deg,2
11,110,气压,气压,hpa,2
12,111,气温,气温,℃,2
13,112,湿度,湿度,%,2
14,113,降水量,降水量,mm,2
15,114,站房温度,站房温度,℃,4
16,115,站房湿度,站房湿度,%,4
17,116,CO2,二氧化碳,mg/m3,3
18,117,甲烷,甲烷,mg/m3,3
19,118,能见度,能见度,km,1
20,120,降水强度,降水强度,mm/h,1
21,121,蒸发量,蒸发量,mm,2
22,122,蒸发率,蒸发率,mm/h,2
23,123,日照,日照,W/㎡,2
24,124,日照时数,日照时数,h,2
25,125,太阳辐射,太阳辐射,W/㎡,2
